libro,school
glass,vaso
house,casa
dibujos,cartoons
carpesan,file
cerillas,match
diario,diary
paraguas,umbrella
toalla,towel
almohada,pillow
sábana,sheet
abrigo,coat
blusa,blouse
vestido,dress
diccionario,dictionary
alfombra,carpet
cejas,eyesbrow
pintura,paint
máscara,mask
calle,street
minutos,minutes
cuidado,careful
adolescente,teenager
revista,magazine
monedero,purse
cartera,wallet
pintalabios,lipstick
periodico,newspaper
peine,comb
cepillo,brush
mechero,lighter
monedas,coins
llaves,keys
bandera,flag
barbacoa,barbecued
fiesta,party
barro,mud
tostada,toast
turista,tourist
torre,tower
puente,bridge
museo,museum
rio,river
herramienta,tool
rastro,trace
tren,train
lámpara,lamp
mensaje,message
equipaje,luggage
luz,light
carta,letter
lavandería,laundry
juego,game
galeria,gallery
labios,lips
jardín,garden
flor,flower
faro,lighthouse
fecha,date
año,year
espejo,mirrow
pared,wall
enero,january
caja,box
jefe,boss
medicina,medicine
rueda,wheel
papel,paper
auriculares,headphones
azúcar,sugar
café,coffee
cuadro,picture
balcón,balcony
dulce,sweet
pizarra,blackboard
sombrero,hat
puerta,door
ventana,window
palabras,words
lista,list
contar,count
coche,car
pájaro,bird
otoño,autumn
verano,summer
invierno,winter
primavera,spring
rueda,wheel
calendario,calendary
Navidad,christmas
